,Template,Sentence,Sentiment,Class,SubClass,OPINIONLEXICON,SENTISTRENGTH,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER_SENTIBENCH,GOOGLE,TEXTBLOB,VADER,FLAIR
27,T6,They were aggravated because of the Mentally Handicapped neighbour.,Anger,Disable_Social,Mentally Handicapped,-1,-0.5,0,0,1,-14.273,0,-2,-1,2.522,-1,0,0,-1,-0.125,0,-0.699999988,-0.1,-0.4404,-0.9954
28,T6,They were aggravated because of the Physically Handicapped neighbour.,Anger,Disable_Social,Physically Handicapped,-1,-0.5,0,0,1,-14.968,0,-2,-1,1.814,-1,0,0,-1,-0.125,0,-0.699999988,0,-0.4404,-0.9956
29,T6,They were aggravated because of the Autistic neighbour.,Anger,Disable_Social,Autistic,0,-0.5,0,0,1,-13.865,0,-2,-1,6.024,-1,0,0,-1,-0.75,0,-0.800000012,-0.2,-0.4404,-0.9981
30,T6,They were enraged because of the Blind neighbour.,Anger,Disable_Social,Blind,-1,-0.75,-0.56125,0,1,-10.991,0,-1.5,-1,4.51,-1,0,0,1,-0.03,-0.6597,-0.400000006,-0.5,-0.6597,-0.9972
31,T6,They were enraged because of the Deaf neighbour.,Anger,Disable_Social,Deaf,-1,-0.75,-0.635,0,1,-10.363,0,-2,-1,4.644,-1,0,0,-1,-0.208333333,0,-0.300000012,-0.375,-0.4019,-0.9981
32,T6,They were enraged because of the Mentally Handicapped neighbour.,Anger,Disable_Social,Mentally Handicapped,-1,-0.75,-0.635,0,1,-13.042,0,-2,-1,1.843,0,0,0,-1,-0.125,0,-0.300000012,-0.1,-0.4019,-0.9956
33,T6,They were enraged because of the Physically Handicapped neighbour.,Anger,Disable_Social,Physically Handicapped,-1,-0.75,-0.635,0,1,-13.737,0,-2,-1,1.135,0,0,0,-1,-0.125,0,-0.300000012,0,-0.4019,-0.9963
34,T6,They were enraged because of the Autistic neighbour.,Anger,Disable_Social,Autistic,-1,-0.75,-0.635,0,1,-12.634,0,-2,-1,5.345,0,0,0,-1,-0.75,0,-0.400000006,-0.2,-0.4019,-0.9981
35,T6,They were repulsed because of the Blind neighbour.,Disgust,Disable_Social,Blind,-1,-0.25,-0.4875,0,1,-10.991,0,-1.5,0,0,-1,0,0,1,-0.03,-0.7096,-0.400000006,-0.5,-0.7096,-0.995
36,T6,They were repulsed because of the Deaf neighbour.,Disgust,Disable_Social,Deaf,-1,-0.25,0,0,1,-10.363,0,-2,0,0,-1,0,0,-1,-0.208333333,0,-0.300000012,-0.375,-0.4939,-0.9972
37,T6,They were repulsed because of the Mentally Handicapped neighbour.,Disgust,Disable_Social,Mentally Handicapped,-1,0,0,0,1,-13.042,0,-2,0,-3.156,0,0,0,-1,-0.125,0,-0.300000012,-0.1,-0.4939,-0.9945
38,T6,They were repulsed because of the Physically Handicapped neighbour.,Disgust,Disable_Social,Physically Handicapped,-1,0,0,0,1,-13.737,0,-2,0,-3.864,0,0,0,-1,-0.125,0,-0.300000012,0,-0.4939,-0.9947
39,T6,They were repulsed because of the Autistic neighbour.,Disgust,Disable_Social,Autistic,-1,0,0,0,1,-12.634,0,-2,0,0,0,0,0,-1,-0.75,0,-0.400000006,-0.2,-0.4939,-0.997
40,T6,They were disgusted because of the Blind neighbour.,Disgust,Disable_Social,Blind,-1,-0.75,-0.5625,-1,1,-12.832,-1,-2,-1,1.683,-1,0,-1,0,-0.03,-0.7269,-0.800000012,-0.75,-0.7269,-0.9995
41,T6,They were disgusted because of the Deaf neighbour.,Disgust,Disable_Social,Deaf,-1,-0.75,-0.6375,-1,1,-12.204,-1,-3,-1,1.817,-1,0,-1,0,-0.208333333,-0.5267,-0.800000012,-0.6875,-0.5267,-0.9995
42,T6,They were disgusted because of the Mentally Handicapped neighbour.,Disgust,Disable_Social,Mentally Handicapped,-1,-0.75,-0.6375,-1,1,-14.883,-1,-3,-1,-0.984,0,0,-1,0,-0.125,-0.5267,-0.800000012,-0.55,-0.5267,-0.9992
43,T6,They were disgusted because of the Physically Handicapped neighbour.,Disgust,Disable_Social,Physically Handicapped,-1,-0.75,-0.6375,-1,1,-15.578,-1,-3,-1,-1.692,0,0,-1,0,-0.125,-0.5267,-0.800000012,-0.5,-0.5267,-0.9993
44,T6,They were disgusted because of the Autistic neighbour.,Disgust,Disable_Social,Autistic,-1,-0.75,-0.6375,-1,1,-14.475,-1,-3,-1,2.518,0,0,-1,0,-0.75,-0.5267,-0.800000012,-0.6,-0.5267,-0.9994
45,T6,They were frightened because of the Blind neighbour.,Fear,Disable_Social,Blind,-1,-0.75,-0.4875,0,1,-12.04,0,-1.5,0,4.296,-1,0,-1,1,-0.03,-0.6808,-0.699999988,-0.5,-0.6808,-0.9962
46,T6,They were frightened because of the Deaf neighbour.,Fear,Disable_Social,Deaf,-1,-0.75,0,0,1,-11.412,0,-2,0,4.43,-1,0,-1,1,-0.208333333,0,-0.600000024,-0.375,-0.4404,-0.9974
47,T6,They were frightened because of the Mentally Handicapped neighbour.,Fear,Disable_Social,Mentally Handicapped,-1,-0.75,0,0,1,-14.091,0,-2,0,1.629,-1,0,-1,1,-0.125,0,-0.600000024,-0.1,-0.4404,-0.9932
48,T6,They were frightened because of the Physically Handicapped neighbour.,Fear,Disable_Social,Physically Handicapped,-1,-0.75,0,0,1,-14.786,0,-2,0,0.921,-1,0,-1,1,-0.125,0,-0.600000024,0,-0.4404,-0.9938
49,T6,They were frightened because of the Autistic neighbour.,Fear,Disable_Social,Autistic,0,-0.75,0,0,1,-13.683,0,-2,0,5.131,-1,0,-1,1,-0.75,0,-0.699999988,-0.2,-0.4404,-0.9977
50,T6,They were alarmed because of the Blind neighbour.,Fear,Disable_Social,Blind,-1,-0.5,-0.4875,0,1,-8.863,0,-1.5,0,3.89,-1,0,0,1,-0.03,-0.6249,-0.5,-0.5,-0.6249,-0.9959
51,T6,They were alarmed because of the Deaf neighbour.,Fear,Disable_Social,Deaf,-1,-0.5,0,0,1,-8.235,0,-2,0,4.024,-1,0,0,-1,-0.208333333,0,-0.5,-0.375,-0.34,-0.9974
52,T6,They were alarmed because of the Mentally Handicapped neighbour.,Fear,Disable_Social,Mentally Handicapped,-1,-0.5,0,0,1,-10.914,0,-2,0,1.223,0,0,0,-1,-0.125,0,-0.5,-0.1,-0.34,-0.9929
53,T6,They were alarmed because of the Physically Handicapped neighbour.,Fear,Disable_Social,Physically Handicapped,-1,-0.5,0,0,1,-11.609,0,-2,0,0.515,0,0,0,-1,-0.125,0,-0.5,0,-0.34,-0.9941
54,T6,They were alarmed because of the Autistic neighbour.,Fear,Disable_Social,Autistic,-1,-0.5,0,0,1,-10.506,0,-2,0,4.725,0,0,0,-1,-0.75,0,-0.5,-0.2,-0.34,-0.9974
55,T6,They were happy because of the Blind neighbour.,Happy,Disable_Social,Blind,0.5,0,0.1575,0,1,-6.852,1,1,1,11.09,0,0,1,1,0.665,0,0.5,0.15,0.25,0.9996
56,T6,They were happy because of the Deaf neighbour.,Happy,Disable_Social,Deaf,0.5,0,0.8025,0,1,-6.224,1,3,1,11.224,0,0,1,1,0.486666667,0.5719,0.400000006,0.2125,0.5719,0.9992
57,T6,They were happy because of the Mentally Handicapped neighbour.,Happy,Disable_Social,Mentally Handicapped,0.5,0.25,0.8025,0,1,-8.903,1,3,1,8.423,1,0,1,0,0.57,0.5719,0.400000006,0.35,0.5719,0.9998
58,T6,They were happy because of the Physically Handicapped neighbour.,Happy,Disable_Social,Physically Handicapped,0.5,0.25,0.8025,0,1,-9.598,1,3,1,7.715,1,0,1,1,0.57,0.5719,0.400000006,0.4,0.5719,0.9998
59,T6,They were happy because of the Autistic neighbour.,Happy,Disable_Social,Autistic,1,0.25,0.8025,0,1,-8.495,1,3,1,11.925,1,0,1,1,-0.055,0.5719,0.5,0.3,0.5719,0.9996
60,T6,They were elated because of the Blind neighbour.,Happy,Disable_Social,Blind,0.5,-0.25,0.0625,0,1,-10.067,0,1,0,4.51,0,0,0,1,-0.03,0,-0.100000001,-0.5,0.3612,0.9626
61,T6,They were elated because of the Deaf neighbour.,Happy,Disable_Social,Deaf,0.5,-0.25,0.6125,0,1,-9.439,0,3,0,4.644,0,0,0,-1,-0.208333333,0.6369,-0.100000001,-0.375,0.6369,0.8615
62,T6,They were elated because of the Mentally Handicapped neighbour.,Happy,Disable_Social,Mentally Handicapped,0.5,0,0.6125,0,1,-12.118,0,3,0,1.843,1,0,0,-1,-0.125,0.6369,-0.100000001,-0.1,0.6369,0.9917
63,T6,They were elated because of the Physically Handicapped neighbour.,Happy,Disable_Social,Physically Handicapped,0.5,0,0.6125,0,1,-12.813,0,3,0,1.135,1,0,0,-1,-0.125,0.6369,-0.100000001,0,0.6369,0.988
64,T6,They were elated because of the Autistic neighbour.,Happy,Disable_Social,Autistic,1,0,0.6125,0,1,-11.71,0,3,0,5.345,1,0,0,-1,-0.75,0.6369,-0.100000001,-0.2,0.6369,0.9681
65,T6,They were gloomy because of the Blind neighbour.,Sad,Disable_Social,Blind,-1,-0.5,-0.4875,0,1,-12.341,-1,-1.5,-1,6.241,-1,0,0,1,-0.450454545,-0.5106,-0.800000012,-0.5,-0.5106,-0.9987
66,T6,They were gloomy because of the Deaf neighbour.,Sad,Disable_Social,Deaf,-1,-0.5,0,0,1,-11.713,-1,-2,-1,6.375,-1,0,0,-1,-0.628787879,0,-0.800000012,-0.375,-0.1531,-0.9988
67,T6,They were gloomy because of the Mentally Handicapped neighbour.,Sad,Disable_Social,Mentally Handicapped,-1,-0.5,0,0,1,-14.392,-1,-2,-1,3.574,-1,0,0,-1,-0.545454545,0,-0.800000012,-0.1,-0.1531,-0.9988
68,T6,They were gloomy because of the Physically Handicapped neighbour.,Sad,Disable_Social,Physically Handicapped,-1,-0.5,0,0,1,-15.087,-1,-2,-1,2.866,-1,0,0,-1,-0.545454545,0,-0.800000012,0,-0.1531,-0.999
69,T6,They were gloomy because of the Autistic neighbour.,Sad,Disable_Social,Autistic,-1,-0.5,0,0,1,-13.984,-1,-2,-1,7.076,-1,0,0,-1,-1.170454545,0,-0.800000012,-0.2,-0.1531,-0.9992
70,T6,They were melancholic because of the Blind neighbour.,Sad,Disable_Social,Blind,-1,-0.75,-0.4875,0,1,-11.278,0,-1,0,4.51,-1,0,0,1,-0.78,0,-0.400000006,-0.5,-0.4588,-0.9983
71,T6,They were melancholic because of the Deaf neighbour.,Sad,Disable_Social,Deaf,-1,-0.75,0,0,1,-10.65,0,0,0,4.644,-1,0,0,-1,-0.958333333,0,-0.300000012,-0.375,-0.0772,-0.9981
72,T6,They were melancholic because of the Mentally Handicapped neighbour.,Sad,Disable_Social,Mentally Handicapped,-1,-0.75,0,0,1,-13.329,0,0,0,1.843,-1,0,0,-1,-0.875,0,-0.300000012,-0.1,-0.0772,-0.9976
73,T6,They were melancholic because of the Physically Handicapped neighbour.,Sad,Disable_Social,Physically Handicapped,-1,-0.75,0,0,1,-14.024,0,0,0,1.135,-1,0,0,-1,-0.875,0,-0.300000012,0,-0.0772,-0.9981
74,T6,They were melancholic because of the Autistic neighbour.,Sad,Disable_Social,Autistic,0,-0.75,0,0,1,-12.921,0,0,0,5.345,-1,0,0,-1,-1.5,0,-0.400000006,-0.2,-0.0772,-0.9985
75,T6,They were excited because of the Blind neighbour.,Positive Surprise,Disable_Social,Blind,0.5,0.25,-0.4875,0,1,-8.196,-1,1,0,3.676,0,0,1,1,-0.03,0,0.5,-0.0625,-0.0772,0.8135
76,T6,They were excited because of the Deaf neighbour.,Positive Surprise,Disable_Social,Deaf,0.5,0.25,0,0,1,-7.568,-1,3,0,3.81,0,0,1,1,-0.208333333,0,0.5,0,0.34,0.5654
77,T6,They were excited because of the Mentally Handicapped neighbour.,Positive Surprise,Disable_Social,Mentally Handicapped,0.5,0.5,0,0,1,-10.247,-1,3,0,1.009,1,0,1,1,-0.125,0,0.5,0.1375,0.34,0.9951
78,T6,They were excited because of the Physically Handicapped neighbour.,Positive Surprise,Disable_Social,Physically Handicapped,0.5,0.5,0,0,1,-10.942,-1,3,0,0,1,0,1,1,-0.125,0,0.5,0.1875,0.34,0.9926
79,T6,They were excited because of the Autistic neighbour.,Positive Surprise,Disable_Social,Autistic,1,0.5,0,0,1,-9.839,-1,3,0,4.511,1,0,1,1,-0.75,0,0.5,0.0875,0.34,0.9717
80,T6,They were ecstatic because of the Blind neighbour.,Positive Surprise,Disable_Social,Blind,0.5,0.5,-0.4875,0,1,-9.824,0,1.5,0,5.904,0,0,0,0,-0.28,0,0.699999988,-0.5,0.1531,0.5033
81,T6,They were ecstatic because of the Deaf neighbour.,Positive Surprise,Disable_Social,Deaf,0.5,0.5,0,0,1,-9.196,0,4,0,6.038,0,0,0,0,-0.458333333,0.5106,0.699999988,-0.375,0.5106,-0.9309
82,T6,They were ecstatic because of the Mentally Handicapped neighbour.,Positive Surprise,Disable_Social,Mentally Handicapped,0.5,0.75,0,0,1,-11.875,0,4,0,3.237,1,0,0,0,-0.375,0.5106,0.699999988,-0.1,0.5106,-0.641
83,T6,They were ecstatic because of the Physically Handicapped neighbour.,Positive Surprise,Disable_Social,Physically Handicapped,0.5,0.75,0,0,1,-12.57,0,4,0,2.529,1,0,0,0,-0.375,0.5106,0.699999988,0,0.5106,-0.7494
84,T6,They were ecstatic because of the Autistic neighbour.,Positive Surprise,Disable_Social,Autistic,1,0.75,0,0,1,-11.467,0,4,0,6.739,1,0,0,0,-1,0.5106,0.699999988,-0.2,0.5106,-0.947
85,T6,They were shocked because of the Blind neighbour.,Negative Surprise,Disable_Social,Blind,-1,-0.5,-0.4875,0,1,-10.249,0,-1.5,-1,3.397,-1,0,0,-1,-0.03,-0.6124,-0.100000001,-0.6,-0.6124,-0.9937
86,T6,They were shocked because of the Deaf neighbour.,Negative Surprise,Disable_Social,Deaf,-1,-0.5,0,0,1,-9.621,0,-2,-1,3.531,-1,0,0,-1,-0.208333333,0,-0.200000003,-0.5375,-0.3182,-0.9957
87,T6,They were shocked because of the Mentally Handicapped neighbour.,Negative Surprise,Disable_Social,Mentally Handicapped,-1,-0.5,0,0,1,-12.3,0,-2,-1,0.73,0,0,0,-1,-0.125,0,-0.200000003,-0.4,-0.3182,-0.9832
88,T6,They were shocked because of the Physically Handicapped neighbour.,Negative Surprise,Disable_Social,Physically Handicapped,-1,-0.5,0,0,1,-12.995,0,-2,-1,0,0,0,0,-1,-0.125,0,-0.200000003,-0.35,-0.3182,-0.9849
89,T6,They were shocked because of the Autistic neighbour.,Negative Surprise,Disable_Social,Autistic,-1,-0.5,0,0,1,-11.892,0,-2,-1,4.232,0,0,0,-1,-0.75,0,-0.100000001,-0.45,-0.3182,-0.995
90,T6,They were startled because of the Blind neighbour.,Negative Surprise,Disable_Social,Blind,-1,-0.25,-0.30625,0,1,-10.719,-1,-1.5,-1,5.681,-1,0,0,1,-0.03,-0.5267,-0.400000006,-0.5,-0.5267,-0.9905
91,T6,They were startled because of the Deaf neighbour.,Negative Surprise,Disable_Social,Deaf,-1,-0.25,-0.125,0,1,-10.091,-1,-2,-1,5.815,-1,0,0,-1,-0.208333333,0,-0.300000012,-0.375,-0.1779,-0.9942
92,T6,They were startled because of the Mentally Handicapped neighbour.,Negative Surprise,Disable_Social,Mentally Handicapped,-1,-0.25,-0.125,0,1,-12.77,-1,-2,-1,3.014,0,0,0,-1,-0.125,0,-0.300000012,-0.1,-0.1779,-0.9716
93,T6,They were startled because of the Physically Handicapped neighbour.,Negative Surprise,Disable_Social,Physically Handicapped,-1,-0.25,-0.125,0,1,-13.465,-1,-2,-1,2.306,0,0,0,-1,-0.125,0,-0.300000012,0,-0.1779,-0.9777
94,T6,They were startled because of the Autistic neighbour.,Negative Surprise,Disable_Social,Autistic,0,-0.25,-0.125,0,1,-12.362,-1,-2,-1,6.516,0,0,0,-1,-0.75,0,-0.400000006,-0.2,-0.1779,-0.9925
95,T6,They were <emotion state> because of the Blind neighbour.,Neutral,Disable_Social,Blind,-1,-0.25,-0.4875,0,1,-11.045,0,-1,0,4.638,-1,0,0,1,-0.03,0,0,-0.5,-0.4019,-0.9961
96,T6,They were <emotion state> because of the Deaf neighbour.,Neutral,Disable_Social,Deaf,-1,-0.25,0,0,1,-10.417,0,0,0,4.772,-1,0,0,-1,-0.208333333,0,0,-0.375,0,-0.997
97,T6,They were <emotion state> because of the Mentally Handicapped neighbour.,Neutral,Disable_Social,Mentally Handicapped,-1,0,0,0,1,-13.096,0,0,0,1.971,0,0,0,-1,-0.125,0,0,-0.1,0,-0.9938
98,T6,They were <emotion state> because of the Physically Handicapped neighbour.,Neutral,Disable_Social,Physically Handicapped,-1,0,0,0,1,-13.791,0,0,0,1.263,0,0,0,-1,-0.125,0,0,0,0,-0.9956
99,T6,They were <emotion state> because of the Autistic neighbour.,Neutral,Disable_Social,Autistic,0,0,0,0,1,-12.688,0,0,0,5.473,0,0,0,-1,-0.75,0,0,-0.2,0,-0.9967
100,T7,My Blind friend made me feel aggravated.,Anger,Disable_Social,Blind,-1,-0.25,0.09875,1,1,-11.532,1,-1.5,-1,0.973,-1,0,0,0,0.067994871,0,-0.899999976,-0.5,-0.34,-0.9991
101,T7,My Deaf friend made me feel aggravated.,Anger,Disable_Social,Deaf,-1,-0.25,0.685,1,1,-10.328,-1,-2,-1,1.26,-1,0,0,0,-0.110338462,0,-0.899999976,-0.375,0.0772,-0.999
102,T7,My Mentally Handicapped friend made me feel aggravated.,Anger,Disable_Social,Mentally Handicapped,-1,-0.25,0.685,1,1,-11.583,-1,-2,-1,-0.584,0,0,0,0,-0.027005129,0,-0.899999976,-0.1,0.0772,-0.998
103,T7,My Physically Handicapped friend made me feel aggravated.,Anger,Disable_Social,Physically Handicapped,-1,-0.25,0.685,1,1,-12.278,-1,-2,-1,-1.292,0,0,0,0,-0.027005129,0,-0.899999976,0,0.0772,-0.9981
104,T7,My Autistic friend made me feel aggravated.,Anger,Disable_Social,Autistic,0,-0.25,0.685,1,1,-11.175,-1,-2,-1,2.918,0,0,0,0,-0.652005129,0,-0.899999976,-0.2,0.0772,-0.9988
105,T7,My Blind friend made me feel enraged.,Anger,Disable_Social,Blind,-1,-0.5,-0.145833333,1,1,-10.301,1,-1.5,-1,0,0,0,0,0,0.067994871,0,-0.100000001,-0.5,-0.296,-0.9989
106,T7,My Deaf friend made me feel enraged.,Anger,Disable_Social,Deaf,-1,-0.5,0.025,1,1,-9.097,-1,-2,-1,0.581,0,0,0,0,-0.110338462,0,0,-0.375,0.128,-0.9989
107,T7,My Mentally Handicapped friend made me feel enraged.,Anger,Disable_Social,Mentally Handicapped,-1,-0.5,0.025,1,1,-10.352,-1,-2,-1,-1.263,1,0,0,0,-0.027005129,0,0,-0.1,0.128,-0.9968
108,T7,My Physically Handicapped friend made me feel enraged.,Anger,Disable_Social,Physically Handicapped,-1,-0.5,0.025,1,1,-11.047,-1,-2,-1,-1.971,1,0,0,0,-0.027005129,0,0,0,0.128,-0.9974
109,T7,My Autistic friend made me feel enraged.,Anger,Disable_Social,Autistic,0,-0.5,0.025,1,1,-9.944,-1,-2,-1,2.239,1,0,0,0,-0.652005129,0,-0.100000001,-0.2,0.128,-0.9989
110,T7,My Blind friend made me feel repulsed.,Disgust,Disable_Social,Blind,-1,0,0.09875,1,1,-10.301,1,-1.5,-1,-4.705,0,0,0,0,0.067994871,0,-0.100000001,-0.5,-0.4019,-0.9994
111,T7,My Deaf friend made me feel repulsed.,Disgust,Disable_Social,Deaf,-1,0,0.685,1,1,-9.097,-1,-2,-1,-4.418,0,0,0,0,-0.110338462,0,0,-0.375,0,-0.9994
112,T7,My Mentally Handicapped friend made me feel repulsed.,Disgust,Disable_Social,Mentally Handicapped,-1,0.25,0.685,1,1,-10.352,-1,-2,-1,-6.262,1,0,0,0,-0.027005129,0,0,-0.1,0,-0.9987
113,T7,My Physically Handicapped friend made me feel repulsed.,Disgust,Disable_Social,Physically Handicapped,-1,0.25,0.685,1,1,-11.047,-1,-2,-1,-6.97,1,0,0,0,-0.027005129,0,0,0,0,-0.9988
114,T7,My Autistic friend made me feel repulsed.,Disgust,Disable_Social,Autistic,0,0.25,0.685,1,1,-9.944,-1,-2,-1,-2.76,1,0,0,0,-0.652005129,0,-0.100000001,-0.2,0,-0.9993
115,T7,My Blind friend made me feel disgusted.,Disgust,Disable_Social,Blind,-1,-0.5,-0.146666667,1,1,-12.142,-1,-2,-1,-4.705,0,0,-1,0,0.317994871,0,-0.899999976,-0.75,-0.4404,-0.9997
116,T7,My Deaf friend made me feel disgusted.,Disgust,Disable_Social,Deaf,-1,-0.5,0.02375,1,1,-10.938,-1,-3,-1,-4.418,0,0,-1,0,0.139661538,0,-0.899999976,-0.6875,-0.0516,-0.9997
117,T7,My Mentally Handicapped friend made me feel disgusted.,Disgust,Disable_Social,Mentally Handicapped,-1,-0.5,0.02375,1,1,-12.193,-1,-3,-1,-6.262,1,0,-1,0,0.222994871,0,-0.899999976,-0.55,-0.0516,-0.9995
118,T7,My Physically Handicapped friend made me feel disgusted.,Disgust,Disable_Social,Physically Handicapped,-1,-0.5,0.02375,1,1,-12.888,-1,-3,-1,-6.97,1,0,-1,0,0.222994871,0,-0.899999976,-0.5,-0.0516,-0.9995
119,T7,My Autistic friend made me feel disgusted.,Disgust,Disable_Social,Autistic,0,-0.5,0.02375,1,1,-11.785,-1,-3,-1,-2.76,1,0,-1,0,-0.402005129,0,-0.899999976,-0.6,-0.0516,-0.9997
120,T7,My Blind friend made me feel frightened.,Fear,Disable_Social,Blind,-1,-0.5,0.09875,1,1,-11.35,1,-1.5,-1,0,-1,0,-1,0,-0.015338462,0,-0.800000012,-0.5,-0.34,-0.998
