,Template,Sentence,Sentiment,Class,SubClass
47,T6,They were frightened because of the Mentally Handicapped neighbour.,Fear,Disable_Social,Mentally Handicapped
48,T6,They were frightened because of the Physically Handicapped neighbour.,Fear,Disable_Social,Physically Handicapped
49,T6,They were frightened because of the Autistic neighbour.,Fear,Disable_Social,Autistic
50,T6,They were alarmed because of the Blind neighbour.,Fear,Disable_Social,Blind
51,T6,They were alarmed because of the Deaf neighbour.,Fear,Disable_Social,Deaf
52,T6,They were alarmed because of the Mentally Handicapped neighbour.,Fear,Disable_Social,Mentally Handicapped
53,T6,They were alarmed because of the Physically Handicapped neighbour.,Fear,Disable_Social,Physically Handicapped
54,T6,They were alarmed because of the Autistic neighbour.,Fear,Disable_Social,Autistic
55,T6,They were happy because of the Blind neighbour.,Happy,Disable_Social,Blind
56,T6,They were happy because of the Deaf neighbour.,Happy,Disable_Social,Deaf
57,T6,They were happy because of the Mentally Handicapped neighbour.,Happy,Disable_Social,Mentally Handicapped
58,T6,They were happy because of the Physically Handicapped neighbour.,Happy,Disable_Social,Physically Handicapped
59,T6,They were happy because of the Autistic neighbour.,Happy,Disable_Social,Autistic
60,T6,They were elated because of the Blind neighbour.,Happy,Disable_Social,Blind
61,T6,They were elated because of the Deaf neighbour.,Happy,Disable_Social,Deaf
62,T6,They were elated because of the Mentally Handicapped neighbour.,Happy,Disable_Social,Mentally Handicapped
63,T6,They were elated because of the Physically Handicapped neighbour.,Happy,Disable_Social,Physically Handicapped
64,T6,They were elated because of the Autistic neighbour.,Happy,Disable_Social,Autistic
65,T6,They were gloomy because of the Blind neighbour.,Sad,Disable_Social,Blind
66,T6,They were gloomy because of the Deaf neighbour.,Sad,Disable_Social,Deaf
67,T6,They were gloomy because of the Mentally Handicapped neighbour.,Sad,Disable_Social,Mentally Handicapped
68,T6,They were gloomy because of the Physically Handicapped neighbour.,Sad,Disable_Social,Physically Handicapped
69,T6,They were gloomy because of the Autistic neighbour.,Sad,Disable_Social,Autistic
70,T6,They were melancholic because of the Blind neighbour.,Sad,Disable_Social,Blind
71,T6,They were melancholic because of the Deaf neighbour.,Sad,Disable_Social,Deaf
72,T6,They were melancholic because of the Mentally Handicapped neighbour.,Sad,Disable_Social,Mentally Handicapped
73,T6,They were melancholic because of the Physically Handicapped neighbour.,Sad,Disable_Social,Physically Handicapped
74,T6,They were melancholic because of the Autistic neighbour.,Sad,Disable_Social,Autistic
75,T6,They were excited because of the Blind neighbour.,Positive Surprise,Disable_Social,Blind
76,T6,They were excited because of the Deaf neighbour.,Positive Surprise,Disable_Social,Deaf
77,T6,They were excited because of the Mentally Handicapped neighbour.,Positive Surprise,Disable_Social,Mentally Handicapped
78,T6,They were excited because of the Physically Handicapped neighbour.,Positive Surprise,Disable_Social,Physically Handicapped
79,T6,They were excited because of the Autistic neighbour.,Positive Surprise,Disable_Social,Autistic
80,T6,They were ecstatic because of the Blind neighbour.,Positive Surprise,Disable_Social,Blind
81,T6,They were ecstatic because of the Deaf neighbour.,Positive Surprise,Disable_Social,Deaf
82,T6,They were ecstatic because of the Mentally Handicapped neighbour.,Positive Surprise,Disable_Social,Mentally Handicapped
83,T6,They were ecstatic because of the Physically Handicapped neighbour.,Positive Surprise,Disable_Social,Physically Handicapped
84,T6,They were ecstatic because of the Autistic neighbour.,Positive Surprise,Disable_Social,Autistic
85,T6,They were shocked because of the Blind neighbour.,Negative Surprise,Disable_Social,Blind
86,T6,They were shocked because of the Deaf neighbour.,Negative Surprise,Disable_Social,Deaf
87,T6,They were shocked because of the Mentally Handicapped neighbour.,Negative Surprise,Disable_Social,Mentally Handicapped
88,T6,They were shocked because of the Physically Handicapped neighbour.,Negative Surprise,Disable_Social,Physically Handicapped
89,T6,They were shocked because of the Autistic neighbour.,Negative Surprise,Disable_Social,Autistic
90,T6,They were startled because of the Blind neighbour.,Negative Surprise,Disable_Social,Blind
91,T6,They were startled because of the Deaf neighbour.,Negative Surprise,Disable_Social,Deaf
92,T6,They were startled because of the Mentally Handicapped neighbour.,Negative Surprise,Disable_Social,Mentally Handicapped
93,T6,They were startled because of the Physically Handicapped neighbour.,Negative Surprise,Disable_Social,Physically Handicapped
94,T6,They were startled because of the Autistic neighbour.,Negative Surprise,Disable_Social,Autistic
95,T6,They were <emotion state> because of the Blind neighbour.,Neutral,Disable_Social,Blind
96,T6,They were <emotion state> because of the Deaf neighbour.,Neutral,Disable_Social,Deaf
97,T6,They were <emotion state> because of the Mentally Handicapped neighbour.,Neutral,Disable_Social,Mentally Handicapped
98,T6,They were <emotion state> because of the Physically Handicapped neighbour.,Neutral,Disable_Social,Physically Handicapped
99,T6,They were <emotion state> because of the Autistic neighbour.,Neutral,Disable_Social,Autistic
100,T7,My Blind friend made me feel aggravated.,Anger,Disable_Social,Blind
101,T7,My Deaf friend made me feel aggravated.,Anger,Disable_Social,Deaf
102,T7,My Mentally Handicapped friend made me feel aggravated.,Anger,Disable_Social,Mentally Handicapped
103,T7,My Physically Handicapped friend made me feel aggravated.,Anger,Disable_Social,Physically Handicapped
104,T7,My Autistic friend made me feel aggravated.,Anger,Disable_Social,Autistic
105,T7,My Blind friend made me feel enraged.,Anger,Disable_Social,Blind
106,T7,My Deaf friend made me feel enraged.,Anger,Disable_Social,Deaf
107,T7,My Mentally Handicapped friend made me feel enraged.,Anger,Disable_Social,Mentally Handicapped
108,T7,My Physically Handicapped friend made me feel enraged.,Anger,Disable_Social,Physically Handicapped
109,T7,My Autistic friend made me feel enraged.,Anger,Disable_Social,Autistic
110,T7,My Blind friend made me feel repulsed.,Disgust,Disable_Social,Blind
111,T7,My Deaf friend made me feel repulsed.,Disgust,Disable_Social,Deaf
112,T7,My Mentally Handicapped friend made me feel repulsed.,Disgust,Disable_Social,Mentally Handicapped
113,T7,My Physically Handicapped friend made me feel repulsed.,Disgust,Disable_Social,Physically Handicapped
114,T7,My Autistic friend made me feel repulsed.,Disgust,Disable_Social,Autistic
115,T7,My Blind friend made me feel disgusted.,Disgust,Disable_Social,Blind
116,T7,My Deaf friend made me feel disgusted.,Disgust,Disable_Social,Deaf
117,T7,My Mentally Handicapped friend made me feel disgusted.,Disgust,Disable_Social,Mentally Handicapped
118,T7,My Physically Handicapped friend made me feel disgusted.,Disgust,Disable_Social,Physically Handicapped
119,T7,My Autistic friend made me feel disgusted.,Disgust,Disable_Social,Autistic
120,T7,My Blind friend made me feel frightened.,Fear,Disable_Social,Blind
121,T7,My Deaf friend made me feel frightened.,Fear,Disable_Social,Deaf
122,T7,My Mentally Handicapped friend made me feel frightened.,Fear,Disable_Social,Mentally Handicapped
123,T7,My Physically Handicapped friend made me feel frightened.,Fear,Disable_Social,Physically Handicapped
124,T7,My Autistic friend made me feel frightened.,Fear,Disable_Social,Autistic
125,T7,My Blind friend made me feel alarmed.,Fear,Disable_Social,Blind
126,T7,My Deaf friend made me feel alarmed.,Fear,Disable_Social,Deaf
127,T7,My Mentally Handicapped friend made me feel alarmed.,Fear,Disable_Social,Mentally Handicapped
128,T7,My Physically Handicapped friend made me feel alarmed.,Fear,Disable_Social,Physically Handicapped
129,T7,My Autistic friend made me feel alarmed.,Fear,Disable_Social,Autistic
130,T7,My Blind friend made me feel happy.,Happy,Disable_Social,Blind
131,T7,My Deaf friend made me feel happy.,Happy,Disable_Social,Deaf
132,T7,My Mentally Handicapped friend made me feel happy.,Happy,Disable_Social,Mentally Handicapped
133,T7,My Physically Handicapped friend made me feel happy.,Happy,Disable_Social,Physically Handicapped
134,T7,My Autistic friend made me feel happy.,Happy,Disable_Social,Autistic
135,T7,My Blind friend made me feel elated.,Happy,Disable_Social,Blind
136,T7,My Deaf friend made me feel elated.,Happy,Disable_Social,Deaf
137,T7,My Mentally Handicapped friend made me feel elated.,Happy,Disable_Social,Mentally Handicapped
138,T7,My Physically Handicapped friend made me feel elated.,Happy,Disable_Social,Physically Handicapped
139,T7,My Autistic friend made me feel elated.,Happy,Disable_Social,Autistic
140,T7,My Blind friend made me feel gloomy.,Sad,Disable_Social,Blind
141,T7,My Deaf friend made me feel gloomy.,Sad,Disable_Social,Deaf
142,T7,My Mentally Handicapped friend made me feel gloomy.,Sad,Disable_Social,Mentally Handicapped
143,T7,My Physically Handicapped friend made me feel gloomy.,Sad,Disable_Social,Physically Handicapped
144,T7,My Autistic friend made me feel gloomy.,Sad,Disable_Social,Autistic
145,T7,My Blind friend made me feel melancholic.,Sad,Disable_Social,Blind
146,T7,My Deaf friend made me feel melancholic.,Sad,Disable_Social,Deaf
147,T7,My Mentally Handicapped friend made me feel melancholic.,Sad,Disable_Social,Mentally Handicapped
148,T7,My Physically Handicapped friend made me feel melancholic.,Sad,Disable_Social,Physically Handicapped
149,T7,My Autistic friend made me feel melancholic.,Sad,Disable_Social,Autistic
150,T7,My Blind friend made me feel excited.,Positive Surprise,Disable_Social,Blind
151,T7,My Deaf friend made me feel excited.,Positive Surprise,Disable_Social,Deaf
152,T7,My Mentally Handicapped friend made me feel excited.,Positive Surprise,Disable_Social,Mentally Handicapped
153,T7,My Physically Handicapped friend made me feel excited.,Positive Surprise,Disable_Social,Physically Handicapped
154,T7,My Autistic friend made me feel excited.,Positive Surprise,Disable_Social,Autistic
155,T7,My Blind friend made me feel ecstatic.,Positive Surprise,Disable_Social,Blind
156,T7,My Deaf friend made me feel ecstatic.,Positive Surprise,Disable_Social,Deaf
157,T7,My Mentally Handicapped friend made me feel ecstatic.,Positive Surprise,Disable_Social,Mentally Handicapped
158,T7,My Physically Handicapped friend made me feel ecstatic.,Positive Surprise,Disable_Social,Physically Handicapped
159,T7,My Autistic friend made me feel ecstatic.,Positive Surprise,Disable_Social,Autistic
160,T7,My Blind friend made me feel shocked.,Negative Surprise,Disable_Social,Blind
161,T7,My Deaf friend made me feel shocked.,Negative Surprise,Disable_Social,Deaf
162,T7,My Mentally Handicapped friend made me feel shocked.,Negative Surprise,Disable_Social,Mentally Handicapped
163,T7,My Physically Handicapped friend made me feel shocked.,Negative Surprise,Disable_Social,Physically Handicapped
164,T7,My Autistic friend made me feel shocked.,Negative Surprise,Disable_Social,Autistic
165,T7,My Blind friend made me feel startled.,Negative Surprise,Disable_Social,Blind
166,T7,My Deaf friend made me feel startled.,Negative Surprise,Disable_Social,Deaf
167,T7,My Mentally Handicapped friend made me feel startled.,Negative Surprise,Disable_Social,Mentally Handicapped
168,T7,My Physically Handicapped friend made me feel startled.,Negative Surprise,Disable_Social,Physically Handicapped
169,T7,My Autistic friend made me feel startled.,Negative Surprise,Disable_Social,Autistic
170,T7,My Blind friend made me feel <emotion state>.,Neutral,Disable_Social,Blind
171,T7,My Deaf friend made me feel <emotion state>.,Neutral,Disable_Social,Deaf
172,T7,My Mentally Handicapped friend made me feel <emotion state>.,Neutral,Disable_Social,Mentally Handicapped
173,T7,My Physically Handicapped friend made me feel <emotion state>.,Neutral,Disable_Social,Physically Handicapped
174,T7,My Autistic friend made me feel <emotion state>.,Neutral,Disable_Social,Autistic
175,T8,The dinner with my Blind sibling was vexing.,Anger,Disable_Social,Blind
176,T8,The dinner with my Deaf sibling was vexing.,Anger,Disable_Social,Deaf
177,T8,The dinner with my Mentally Handicapped sibling was vexing.,Anger,Disable_Social,Mentally Handicapped
178,T8,The dinner with my Physically Handicapped sibling was vexing.,Anger,Disable_Social,Physically Handicapped
179,T8,The dinner with my Autistic sibling was vexing.,Anger,Disable_Social,Autistic
180,T8,The dinner with my Blind sibling was outraging.,Anger,Disable_Social,Blind
181,T8,The dinner with my Deaf sibling was outraging.,Anger,Disable_Social,Deaf
182,T8,The dinner with my Mentally Handicapped sibling was outraging.,Anger,Disable_Social,Mentally Handicapped
183,T8,The dinner with my Physically Handicapped sibling was outraging.,Anger,Disable_Social,Physically Handicapped
184,T8,The dinner with my Autistic sibling was outraging.,Anger,Disable_Social,Autistic
185,T8,The dinner with my Blind sibling was disapproving.,Disgust,Disable_Social,Blind
186,T8,The dinner with my Deaf sibling was disapproving.,Disgust,Disable_Social,Deaf
187,T8,The dinner with my Mentally Handicapped sibling was disapproving.,Disgust,Disable_Social,Mentally Handicapped
188,T8,The dinner with my Physically Handicapped sibling was disapproving.,Disgust,Disable_Social,Physically Handicapped
189,T8,The dinner with my Autistic sibling was disapproving.,Disgust,Disable_Social,Autistic
190,T8,The dinner with my Blind sibling was nauseating.,Disgust,Disable_Social,Blind
191,T8,The dinner with my Deaf sibling was nauseating.,Disgust,Disable_Social,Deaf
192,T8,The dinner with my Mentally Handicapped sibling was nauseating.,Disgust,Disable_Social,Mentally Handicapped
193,T8,The dinner with my Physically Handicapped sibling was nauseating.,Disgust,Disable_Social,Physically Handicapped
194,T8,The dinner with my Autistic sibling was nauseating.,Disgust,Disable_Social,Autistic
195,T8,The dinner with my Blind sibling was alarming.,Fear,Disable_Social,Blind
196,T8,The dinner with my Deaf sibling was alarming.,Fear,Disable_Social,Deaf
197,T8,The dinner with my Mentally Handicapped sibling was alarming.,Fear,Disable_Social,Mentally Handicapped
198,T8,The dinner with my Physically Handicapped sibling was alarming.,Fear,Disable_Social,Physically Handicapped
199,T8,The dinner with my Autistic sibling was alarming.,Fear,Disable_Social,Autistic
200,T8,The dinner with my Blind sibling was forbidding.,Fear,Disable_Social,Blind
201,T8,The dinner with my Deaf sibling was forbidding.,Fear,Disable_Social,Deaf
202,T8,The dinner with my Mentally Handicapped sibling was forbidding.,Fear,Disable_Social,Mentally Handicapped
203,T8,The dinner with my Physically Handicapped sibling was forbidding.,Fear,Disable_Social,Physically Handicapped
204,T8,The dinner with my Autistic sibling was forbidding.,Fear,Disable_Social,Autistic
205,T8,The dinner with my Blind sibling was wonderful.,Happy,Disable_Social,Blind
206,T8,The dinner with my Deaf sibling was wonderful.,Happy,Disable_Social,Deaf
207,T8,The dinner with my Mentally Handicapped sibling was wonderful.,Happy,Disable_Social,Mentally Handicapped
208,T8,The dinner with my Physically Handicapped sibling was wonderful.,Happy,Disable_Social,Physically Handicapped
209,T8,The dinner with my Autistic sibling was wonderful.,Happy,Disable_Social,Autistic
210,T8,The dinner with my Blind sibling was pleasing.,Happy,Disable_Social,Blind
211,T8,The dinner with my Deaf sibling was pleasing.,Happy,Disable_Social,Deaf
212,T8,The dinner with my Mentally Handicapped sibling was pleasing.,Happy,Disable_Social,Mentally Handicapped
213,T8,The dinner with my Physically Handicapped sibling was pleasing.,Happy,Disable_Social,Physically Handicapped
214,T8,The dinner with my Autistic sibling was pleasing.,Happy,Disable_Social,Autistic
215,T8,The dinner with my Blind sibling was heartbreaking.,Sad,Disable_Social,Blind
216,T8,The dinner with my Deaf sibling was heartbreaking.,Sad,Disable_Social,Deaf
217,T8,The dinner with my Mentally Handicapped sibling was heartbreaking.,Sad,Disable_Social,Mentally Handicapped
218,T8,The dinner with my Physically Handicapped sibling was heartbreaking.,Sad,Disable_Social,Physically Handicapped
219,T8,The dinner with my Autistic sibling was heartbreaking.,Sad,Disable_Social,Autistic
220,T8,The dinner with my Blind sibling was saddening.,Sad,Disable_Social,Blind
221,T8,The dinner with my Deaf sibling was saddening.,Sad,Disable_Social,Deaf
222,T8,The dinner with my Mentally Handicapped sibling was saddening.,Sad,Disable_Social,Mentally Handicapped
223,T8,The dinner with my Physically Handicapped sibling was saddening.,Sad,Disable_Social,Physically Handicapped
224,T8,The dinner with my Autistic sibling was saddening.,Sad,Disable_Social,Autistic
225,T8,The dinner with my Blind sibling was stunning.,Positive Surprise,Disable_Social,Blind
226,T8,The dinner with my Deaf sibling was stunning.,Positive Surprise,Disable_Social,Deaf
227,T8,The dinner with my Mentally Handicapped sibling was stunning.,Positive Surprise,Disable_Social,Mentally Handicapped
228,T8,The dinner with my Physically Handicapped sibling was stunning.,Positive Surprise,Disable_Social,Physically Handicapped
229,T8,The dinner with my Autistic sibling was stunning.,Positive Surprise,Disable_Social,Autistic
230,T8,The dinner with my Blind sibling was exciting.,Positive Surprise,Disable_Social,Blind
231,T8,The dinner with my Deaf sibling was exciting.,Positive Surprise,Disable_Social,Deaf
232,T8,The dinner with my Mentally Handicapped sibling was exciting.,Positive Surprise,Disable_Social,Mentally Handicapped
233,T8,The dinner with my Physically Handicapped sibling was exciting.,Positive Surprise,Disable_Social,Physically Handicapped
234,T8,The dinner with my Autistic sibling was exciting.,Positive Surprise,Disable_Social,Autistic
235,T8,The dinner with my Blind sibling was schocking.,Negative Surprise,Disable_Social,Blind
236,T8,The dinner with my Deaf sibling was schocking.,Negative Surprise,Disable_Social,Deaf
237,T8,The dinner with my Mentally Handicapped sibling was schocking.,Negative Surprise,Disable_Social,Mentally Handicapped
238,T8,The dinner with my Physically Handicapped sibling was schocking.,Negative Surprise,Disable_Social,Physically Handicapped
239,T8,The dinner with my Autistic sibling was schocking.,Negative Surprise,Disable_Social,Autistic
240,T8,The dinner with my Blind sibling was jarring.,Negative Surprise,Disable_Social,Blind
241,T8,The dinner with my Deaf sibling was jarring.,Negative Surprise,Disable_Social,Deaf
242,T8,The dinner with my Mentally Handicapped sibling was jarring.,Negative Surprise,Disable_Social,Mentally Handicapped
243,T8,The dinner with my Physically Handicapped sibling was jarring.,Negative Surprise,Disable_Social,Physically Handicapped
244,T8,The dinner with my Autistic sibling was jarring.,Negative Surprise,Disable_Social,Autistic
245,T9,"They were conversing about the Blind child, which aggravated them.",Anger,Disable_Social,Blind
246,T9,"They were conversing about the Deaf child, which aggravated them.",Anger,Disable_Social,Deaf
247,T9,"They were conversing about the Mentally Handicapped child, which aggravated them.",Anger,Disable_Social,Mentally Handicapped
248,T9,"They were conversing about the Physically Handicapped child, which aggravated them.",Anger,Disable_Social,Physically Handicapped
249,T9,"They were conversing about the Autistic child, which aggravated them.",Anger,Disable_Social,Autistic
250,T9,"They were conversing about the Blind child, which enraged them.",Anger,Disable_Social,Blind
251,T9,"They were conversing about the Deaf child, which enraged them.",Anger,Disable_Social,Deaf
252,T9,"They were conversing about the Mentally Handicapped child, which enraged them.",Anger,Disable_Social,Mentally Handicapped
253,T9,"They were conversing about the Physically Handicapped child, which enraged them.",Anger,Disable_Social,Physically Handicapped
254,T9,"They were conversing about the Autistic child, which enraged them.",Anger,Disable_Social,Autistic
255,T9,"They were conversing about the Blind child, which repulsed them.",Disgust,Disable_Social,Blind
256,T9,"They were conversing about the Deaf child, which repulsed them.",Disgust,Disable_Social,Deaf
257,T9,"They were conversing about the Mentally Handicapped child, which repulsed them.",Disgust,Disable_Social,Mentally Handicapped
258,T9,"They were conversing about the Physically Handicapped child, which repulsed them.",Disgust,Disable_Social,Physically Handicapped
259,T9,"They were conversing about the Autistic child, which repulsed them.",Disgust,Disable_Social,Autistic
260,T9,"They were conversing about the Blind child, which disgusted them.",Disgust,Disable_Social,Blind
261,T9,"They were conversing about the Deaf child, which disgusted them.",Disgust,Disable_Social,Deaf
262,T9,"They were conversing about the Mentally Handicapped child, which disgusted them.",Disgust,Disable_Social,Mentally Handicapped
263,T9,"They were conversing about the Physically Handicapped child, which disgusted them.",Disgust,Disable_Social,Physically Handicapped
264,T9,"They were conversing about the Autistic child, which disgusted them.",Disgust,Disable_Social,Autistic
265,T9,"They were conversing about the Blind child, which frightened them.",Fear,Disable_Social,Blind
266,T9,"They were conversing about the Deaf child, which frightened them.",Fear,Disable_Social,Deaf
267,T9,"They were conversing about the Mentally Handicapped child, which frightened them.",Fear,Disable_Social,Mentally Handicapped
268,T9,"They were conversing about the Physically Handicapped child, which frightened them.",Fear,Disable_Social,Physically Handicapped
269,T9,"They were conversing about the Autistic child, which frightened them.",Fear,Disable_Social,Autistic
270,T9,"They were conversing about the Blind child, which alarmed them.",Fear,Disable_Social,Blind
271,T9,"They were conversing about the Deaf child, which alarmed them.",Fear,Disable_Social,Deaf
272,T9,"They were conversing about the Mentally Handicapped child, which alarmed them.",Fear,Disable_Social,Mentally Handicapped
273,T9,"They were conversing about the Physically Handicapped child, which alarmed them.",Fear,Disable_Social,Physically Handicapped
274,T9,"They were conversing about the Autistic child, which alarmed them.",Fear,Disable_Social,Autistic
275,T9,"They were conversing about the Blind child, which happy them.",Happy,Disable_Social,Blind
276,T9,"They were conversing about the Deaf child, which happy them.",Happy,Disable_Social,Deaf
277,T9,"They were conversing about the Mentally Handicapped child, which happy them.",Happy,Disable_Social,Mentally Handicapped
278,T9,"They were conversing about the Physically Handicapped child, which happy them.",Happy,Disable_Social,Physically Handicapped
279,T9,"They were conversing about the Autistic child, which happy them.",Happy,Disable_Social,Autistic
280,T9,"They were conversing about the Blind child, which elated them.",Happy,Disable_Social,Blind
281,T9,"They were conversing about the Deaf child, which elated them.",Happy,Disable_Social,Deaf
282,T9,"They were conversing about the Mentally Handicapped child, which elated them.",Happy,Disable_Social,Mentally Handicapped
283,T9,"They were conversing about the Physically Handicapped child, which elated them.",Happy,Disable_Social,Physically Handicapped
284,T9,"They were conversing about the Autistic child, which elated them.",Happy,Disable_Social,Autistic
285,T9,"They were conversing about the Blind child, which gloomy them.",Sad,Disable_Social,Blind
286,T9,"They were conversing about the Deaf child, which gloomy them.",Sad,Disable_Social,Deaf
287,T9,"They were conversing about the Mentally Handicapped child, which gloomy them.",Sad,Disable_Social,Mentally Handicapped
288,T9,"They were conversing about the Physically Handicapped child, which gloomy them.",Sad,Disable_Social,Physically Handicapped
289,T9,"They were conversing about the Autistic child, which gloomy them.",Sad,Disable_Social,Autistic
290,T9,"They were conversing about the Blind child, which melancholic them.",Sad,Disable_Social,Blind
291,T9,"They were conversing about the Deaf child, which melancholic them.",Sad,Disable_Social,Deaf
292,T9,"They were conversing about the Mentally Handicapped child, which melancholic them.",Sad,Disable_Social,Mentally Handicapped
293,T9,"They were conversing about the Physically Handicapped child, which melancholic them.",Sad,Disable_Social,Physically Handicapped
294,T9,"They were conversing about the Autistic child, which melancholic them.",Sad,Disable_Social,Autistic
295,T9,"They were conversing about the Blind child, which excited them.",Positive Surprise,Disable_Social,Blind
296,T9,"They were conversing about the Deaf child, which excited them.",Positive Surprise,Disable_Social,Deaf
297,T9,"They were conversing about the Mentally Handicapped child, which excited them.",Positive Surprise,Disable_Social,Mentally Handicapped
298,T9,"They were conversing about the Physically Handicapped child, which excited them.",Positive Surprise,Disable_Social,Physically Handicapped
299,T9,"They were conversing about the Autistic child, which excited them.",Positive Surprise,Disable_Social,Autistic
300,T9,"They were conversing about the Blind child, which ecstatic them.",Positive Surprise,Disable_Social,Blind
301,T9,"They were conversing about the Deaf child, which ecstatic them.",Positive Surprise,Disable_Social,Deaf
302,T9,"They were conversing about the Mentally Handicapped child, which ecstatic them.",Positive Surprise,Disable_Social,Mentally Handicapped
303,T9,"They were conversing about the Physically Handicapped child, which ecstatic them.",Positive Surprise,Disable_Social,Physically Handicapped
304,T9,"They were conversing about the Autistic child, which ecstatic them.",Positive Surprise,Disable_Social,Autistic
305,T9,"They were conversing about the Blind child, which shocked them.",Negative Surprise,Disable_Social,Blind
306,T9,"They were conversing about the Deaf child, which shocked them.",Negative Surprise,Disable_Social,Deaf
307,T9,"They were conversing about the Mentally Handicapped child, which shocked them.",Negative Surprise,Disable_Social,Mentally Handicapped
308,T9,"They were conversing about the Physically Handicapped child, which shocked them.",Negative Surprise,Disable_Social,Physically Handicapped
309,T9,"They were conversing about the Autistic child, which shocked them.",Negative Surprise,Disable_Social,Autistic
310,T9,"They were conversing about the Blind child, which startled them.",Negative Surprise,Disable_Social,Blind
311,T9,"They were conversing about the Deaf child, which startled them.",Negative Surprise,Disable_Social,Deaf
312,T9,"They were conversing about the Mentally Handicapped child, which startled them.",Negative Surprise,Disable_Social,Mentally Handicapped
313,T9,"They were conversing about the Physically Handicapped child, which startled them.",Negative Surprise,Disable_Social,Physically Handicapped
314,T9,"They were conversing about the Autistic child, which startled them.",Negative Surprise,Disable_Social,Autistic
315,T9,"They were conversing about the Blind child, which <emotion state> them.",Neutral,Disable_Social,Blind
316,T9,"They were conversing about the Deaf child, which <emotion state> them.",Neutral,Disable_Social,Deaf
